Date,Close
2024-04-02,12025.56
2024-04-03,12064.89
2024-04-04,12236.77
2024-04-05,12262.48
2024-04-06,12346.84
2024-04-07,12407.29
2024-04-08,12313.82
2024-04-09,12496.12
2024-04-10,12513.4
2024-04-11,12444.19
2024-04-12,12515.58
2024-04-13,12544.87
2024-04-14,12612.1
2024-04-15,12660.01
2024-04-16,12490.16
2024-04-17,12441.32
2024-04-18,12364.41
2024-04-19,12467.99
2024-04-20,12508.15
2024-04-21,12596.35
2024-04-22,12608.49
2024-04-23,12693.61
2024-04-24,12719.6
2024-04-25,12731.0
2024-04-26,12773.54
2024-04-27,12813.77
2024-04-28,13105.42
2024-04-29,13114.32
2024-04-30,13012.54
2024-05-01,13062.23
2024-05-02,13007.97
2024-05-03,12785.24
2024-05-04,12732.12
2024-05-05,12971.37
2024-05-06,12955.38
2024-05-07,12752.86
2024-05-08,13017.93
2024-05-09,12970.53
2024-05-10,13259.69
2024-05-11,13309.59
2024-05-12,13555.82
2024-05-13,13617.35
2024-05-14,13725.78
2024-05-15,13765.23
2024-05-16,13780.5
2024-05-17,13834.55
2024-05-18,13922.59
2024-05-19,13988.4
2024-05-20,14040.76
2024-05-21,14000.55
2024-05-22,13985.06
2024-05-23,14153.75
2024-05-24,14129.69
2024-05-25,14143.76
2024-05-26,14300.87
2024-05-27,14418.4
2024-05-28,14592.64
2024-05-29,14540.97
2024-05-30,14563.77
2024-05-31,14552.13
2024-06-01,14510.59
2024-06-02,14679.9
2024-06-03,14712.74
2024-06-04,14795.04
2024-06-05,14633.31
2024-06-06,14864.79
2024-06-07,15032.34
2024-06-08,15113.66
2024-06-09,15133.36
2024-06-10,15239.72
2024-06-11,15434.89
2024-06-12,15733.65
2024-06-13,15957.76
2024-06-14,16077.9
2024-06-15,16282.46
2024-06-16,16472.84
2024-06-17,16575.94
2024-06-18,16745.69
2024-06-19,16922.06
2024-06-20,17000.27
2024-06-21,16992.83
2024-06-22,17060.81
2024-06-23,16964.36
2024-06-24,16807.67
2024-06-25,16884.14
2024-06-26,16995.3
2024-06-27,17097.88
2024-06-28,17217.2
2024-06-29,16999.27
2024-06-30,17121.25
2024-07-01,17358.13
2024-07-02,17574.23
2024-07-03,17794.01
2024-07-04,17931.64
2024-07-05,18054.41
2024-07-06,18105.06
2024-07-07,18212.84
2024-07-08,18118.14
2024-07-09,18337.62
2024-07-10,18290.5
2024-07-11,18398.79
2024-07-12,18644.5
2024-07-13,18871.31
2024-07-14,19333.62
2024-07-15,19194.67
2024-07-16,19123.07
2024-07-17,19332.56
2024-07-18,19213.71
2024-07-19,19097.34
2024-07-20,19198.9
2024-07-21,19024.6
2024-07-22,19060.61
2024-07-23,19150.96
2024-07-24,19227.19
2024-07-25,19319.53
2024-07-26,19270.49
2024-07-27,19291.6
2024-07-28,19260.16
2024-07-29,18452.1
2024-07-30,18373.19
2024-07-31,18199.07
2024-08-01,18137.76
2024-08-02,18105.21
2024-08-03,18257.66
2024-08-04,18310.11
2024-08-05,18351.78
2024-08-06,18408.54
2024-08-07,18367.04
2024-08-08,18227.76
2024-08-09,18370.23
2024-08-10,18216.63
2024-08-11,18085.35
2024-08-12,18094.96
2024-08-13,18245.84
2024-08-14,18234.28
2024-08-15,18116.47
2024-08-16,18106.62
2024-08-17,18149.74
2024-08-18,18137.01
2024-08-19,18275.38
2024-08-20,18499.32
2024-08-21,18578.45
2024-08-22,18938.92
2024-08-23,19077.81
2024-08-24,19342.68
2024-08-25,19504.56
2024-08-26,19650.68
2024-08-27,19483.52
2024-08-28,19332.29
2024-08-29,19320.85
2024-08-30,19483.41
2024-08-31,19606.66
2024-09-01,19638.97
2024-09-02,19786.22
2024-09-03,20024.65
2024-09-04,20131.04
2024-09-05,20248.16
2024-09-06,20333.57
2024-09-07,20388.1
2024-09-08,20313.82
2024-09-09,20174.6
2024-09-10,20298.43
2024-09-11,20522.35
2024-09-12,20575.34
2024-09-13,20591.37
2024-09-14,20329.89
2024-09-15,20062.43
2024-09-16,20353.19
2024-09-17,20313.54
2024-09-18,19808.62
2024-09-19,20322.01
2024-09-20,20342.68
2024-09-21,20177.06
2024-09-22,19409.47
2024-09-23,19673.0
2024-09-24,19586.1
2024-09-25,19834.41
2024-09-26,19777.41
2024-09-27,19731.87
2024-09-28,19658.75
2024-09-29,19683.89
2024-09-30,19958.81
2024-10-01,19910.72
2024-10-02,19963.35
2024-10-03,20103.48
2024-10-04,20358.83
2024-10-05,20340.2
2024-10-06,20178.08
2024-10-07,20178.14
2024-10-08,20166.64
2024-10-09,19987.21
2024-10-10,20127.1
2024-10-11,20264.21
2024-10-12,20673.22
2024-10-13,20771.84
2024-10-14,20698.16
2024-10-15,20547.38
2024-10-16,20630.33
2024-10-17,20540.72
2024-10-18,20664.31
2024-10-19,20609.47
2024-10-20,20630.06
2024-10-21,20649.47
2024-10-22,20538.73
2024-10-23,20311.23
2024-10-24,20566.64
2024-10-25,20699.16
2024-10-26,20598.1
2024-10-27,20424.36
2024-10-28,20786.96
2024-10-29,20753.59
2024-10-30,20991.9
